Page,Link,"Status Code",Type
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22C%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22D%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22E%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22F%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22G%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22H%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22I%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22J%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22K%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22L%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22M%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22N%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22O%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22P%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22Q%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22R%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22S%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22T%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22U%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22V%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22W%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22X%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22Y%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/brands/filter/brandFirstLetter/%22Z%22#brandOptions,200,AOK
http://www.zappos.com/shoes,/ugg-classic-tall~1,200,AOK
http://www.zappos.com/shoes,/boots,200,AOK
http://www.zappos.com/shoes,/simple-satire-hemp,200,AOK
http://www.zappos.com/shoes,/converse,200,AOK
http://www.zappos.com/shoes,/frye-melissa-button,200,AOK
http://www.zappos.com/shoes,/boots,200,AOK
http://www.zappos.com/shoes,/vans,200,AOK
http://www.zappos.com/shoes,/casual-shoes,200,AOK
http://www.zappos.com/shoes,/heels,200,AOK
http://www.zappos.com/shoes,/stuart-weitzman,200,AOK
http://www.zappos.com/shoes,/high-heels,200,AOK
http://www.zappos.com/shoes,/asics,200,AOK
http://www.zappos.com/shoes,/new-balance,200,AOK
http://www.zappos.com/shoes,/athletic-shoes,200,AOK
http://www.zappos.com/shoes,/uggs,200,AOK
http://www.zappos.com/shoes,/slippers,200,AOK
http://www.zappos.com/shoes,/cole-haan,200,AOK
http://www.zappos.com/shoes,/timberland,200,AOK
http://www.zappos.com/shoes,/oxfords,200,AOK
http://www.zappos.com/shoes,/kenneth-cole-new-york,200,AOK
http://www.zappos.com/shoes,/loafers,200,AOK
http://www.zappos.com/shoes,/work-industry,200,AOK
http://www.zappos.com/shoes,/steel-toe,200,AOK
http://www.zappos.com/shoes,/boots,200,AOK
http://www.zappos.com/shoes,/reef,200,AOK
http://www.zappos.com/shoes,/flip-flops,200,AOK
http://www.zappos.com/shoes,/kids-sandals,200,AOK
http://www.zappos.com/shoes,/nike,200,AOK
http://www.zappos.com/shoes,/sneakers,200,AOK
